id,answer,question_id
1,false,1
2,false,2
3,false,3
4,true,4
5,true,5
6,true,6
7,true,7
8,false,8
9,true,9
10,false,10
11,true,11
12,false,12
13,true,13
14,false,24
15,true,25
16,true,26
17,false,27
18,true,28
19,true,29
20,true,30
21,false,31
22,true,32
23,false,33
24,true,34
25,true,35
26,true,36
27,true,37
28,false,38
29,true,39
30,false,40
31,true,41
32,false,42
33,true,43
34,false,44
35,true,45
36,false,46
37,true,47
38,true,48
39,true,49
40,true,50
41,false,51
42,true,52
43,true,53
44,false,54
45,true,55
46,false,56
47,true,57
48,true,58
49,true,59
50,true,60
51,false,61
52,false,62
53,false,63
54,true,64
55,true,65
56,false,66
57,false,67
58,false,68
59,true,69
60,false,70
61,false,71
62,true,72
63,true,73
64,true,74
65,true,75
66,true,76
67,true,77
68,false,78
69,false,79
70,true,80
71,false,81
72,false,82
73,false,83
74,true,84
